frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
114|Dec 22, 2019 16:03:55.010019000 GMT|8.006709000|119|6|||||||||7|0.000000000|0.000000000|443|39358|31|32||243|0x00000018|0|1|0|||||31|||||||||||||||||||21|||||||||1||||||||||||||||||||||||||
115|Dec 22, 2019 16:03:55.010364000 GMT|8.007054000|88|6|||||||||7|0.000345000|0.000345000|39358|443|0|32||185|0x00000010|0|1|0|||0.000345000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
118|Dec 22, 2019 16:03:55.010426000 GMT|8.007116000|88|6|||||||||7|0.000407000|0.000062000|443|39358|0|32||243|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
119|Dec 22, 2019 16:03:55.049942000 GMT|8.046632000|88|6|||||||||7|0.039923000|0.039516000|39358|443|0|32||185|0x00000010|0|1|0|||0.039516000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
122|Dec 22, 2019 16:03:55.120353000 GMT|8.117043000|88|6|||||||||7|0.110334000|0.070411000|443|39358|0|32||243|0x00000011|1|1|0|1|0.109927000||||||1||||||118|||||||||||||||||||||||||||||||2097152,4194304||||||||||||||
123|Dec 22, 2019 16:03:55.120605000 GMT|8.117295000|100|6|||||||||7|0.110586000|0.000252000|39358|443|0|44||185|0x00000010|0|1|0|||0.000252000|||1,1||1|||||||||||||||||||||||||||||||||||||4194304||||||||||||||
126|Dec 22, 2019 16:03:57.883490000 GMT|10.880180000|88|6|||||||||8|0.000000000|0.000000000|80|39855|0|32||235|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
127|Dec 22, 2019 16:03:57.923645000 GMT|10.920335000|88|6|||||||||8|0.040155000|0.040155000|39855|80|0|32||164|0x00000010|0|1|0|||0.040155000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
130|Dec 22, 2019 16:03:59.161926000 GMT|12.158616000|119|6|||||||||9|0.000000000|0.000000000|443|39365|31|32||243|0x00000018|0|1|0|||||31|||||||||||||||||||21|||||||||1||||||||||||||||||||||||||
131|Dec 22, 2019 16:03:59.162183000 GMT|12.158873000|88|6|||||||||9|0.000257000|0.000257000|39365|443|0|32||190|0x00000010|0|1|0|||0.000257000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
134|Dec 22, 2019 16:03:59.162302000 GMT|12.158992000|88|6|||||||||9|0.000376000|0.000119000|443|39365|0|32||243|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
135|Dec 22, 2019 16:03:59.200121000 GMT|12.196811000|88|6|||||||||9|0.038195000|0.037819000|39365|443|0|32||190|0x00000010|0|1|0|||0.037819000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
137|Dec 22, 2019 16:03:59.321856000 GMT|12.318546000|124|6|||||||||3|10.013905000|9.835927000|39359|443|36|32||163|0x00000018|0|1|0|||||36|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
139|Dec 22, 2019 16:03:59.322739000 GMT|12.319429000|159|6|||||||||3|10.014788000|0.000883000|39359|443|71|32||163|0x00000018|0|1|0|||||107|||||||||||||||||||23,23|||||||||||||||||||||||||||||||||||
141|Dec 22, 2019 16:03:59.328880000 GMT|12.325570000|96|6|||||||||10|0.000000000|0.000000000|39392|443|0|40||65535|0x00000002|0|0|1||||||||||||||||||||||512|||||||||||||||||||||||2097152||||||||||||||
144|Dec 22, 2019 16:03:59.434037000 GMT|12.430727000|96|6|||||||||10|0.105157000|0.105157000|443|39392|0|40||28960|0x00000012|0|1|1|||0.105157000|||||||||||||||||||128|||||||||||||||||||||||2097152||||||||||||||
145|Dec 22, 2019 16:03:59.434458000 GMT|12.431148000|88|6|||||||||10|0.105578000|0.000421000|39392|443|0|32||81408|0x00000010|0|1|0|||0.000421000|0.105578000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
